"date","user_country","total_revenue","average_revenue","bounce_rate","total_visits","total_sales","is_holiday","days_till_holiday"
2016-08-01,"(not set)",0,NA,1,2,0,FALSE,NA
2016-08-01,"Albania",0,NA,1,6,0,FALSE,35
2016-08-01,"Algeria",0,NA,1,2,0,FALSE,NA
2016-08-01,"Argentina",0,NA,1,4,0,FALSE,14
2016-08-01,"Armenia",0,NA,NA,1,0,FALSE,157
2016-08-01,"Australia",0,NA,1,16,0,TRUE,0
2016-08-01,"Austria",0,NA,1,3,0,FALSE,14
2016-08-01,"Bahrain",0,NA,1,1,0,FALSE,NA
2016-08-01,"Bangladesh",0,NA,1,7,0,FALSE,NA
2016-08-01,"Belgium",0,NA,NA,1,0,FALSE,14
2016-08-01,"Bosnia & Herzegovina",0,NA,1,4,0,FALSE,112
2016-08-01,"Brazil",0,NA,1,28,0,FALSE,37
2016-08-01,"Bulgaria",0,NA,1,8,0,FALSE,36
2016-08-01,"Canada",0,NA,1,36,0,TRUE,0
2016-08-01,"China",0,NA,1,5,0,FALSE,45
2016-08-01,"Colombia",0,NA,1,6,0,FALSE,6
2016-08-01,"Costa Rica",0,NA,1,2,0,FALSE,1
2016-08-01,"Cyprus",0,NA,1,1,0,FALSE,14
2016-08-01,"Czechia",0,NA,1,1,0,FALSE,58
2016-08-01,"Denmark",0,NA,1,3,0,FALSE,145
2016-08-01,"Egypt",0,NA,1,4,0,FALSE,66
2016-08-01,"El Salvador",0,NA,1,1,0,TRUE,0
2016-08-01,"Estonia",0,NA,NA,2,0,FALSE,19
2016-08-01,"Ethiopia",0,NA,1,1,0,FALSE,NA
2016-08-01,"Finland",0,NA,NA,1,0,FALSE,96
2016-08-01,"France",0,NA,1,5,0,FALSE,14
2016-08-01,"Georgia",0,NA,1,1,0,FALSE,114
2016-08-01,"Germany",0,NA,1,10,0,FALSE,14
2016-08-01,"Ghana",0,NA,1,3,0,FALSE,NA
2016-08-01,"Greece",0,NA,1,4,0,FALSE,14
2016-08-01,"Haiti",0,NA,NA,1,0,FALSE,14
2016-08-01,"Hong Kong",0,NA,1,8,0,FALSE,46
2016-08-01,"India",0,NA,1,70,0,FALSE,NA
2016-08-01,"Indonesia",0,NA,1,20,0,FALSE,16
2016-08-01,"Ireland",0,NA,1,2,0,TRUE,0
2016-08-01,"Israel",0,NA,1,6,0,FALSE,NA
2016-08-01,"Italy",0,NA,1,11,0,FALSE,14
2016-08-01,"Japan",0,NA,1,18,0,FALSE,10
